InputFileName,Architecture,ExperimentDate,ScenarioPath,NumberOfInstances,SleepTime,WorkloadIterations,NumberOfIterations,StartTimestamp,MonolithExperiment,MicroserviceExperiment,MonoFrontendDuration,MonoBackendDuration,MicroFrontendDuration,MicroBackendDuration,C-State,Resident,Count,Latency
6-api-baseline.csv,micro,29-02-24T21-03-08,1,5,300,50,30,29-02-24T21-03-08,29-02-24T21-03-24,01-03-24T04-53-42,,,,,5,C6,0.699%,10289,85
6-api-baseline.csv,micro,29-02-24T21-03-08,1,5,300,50,30,29-02-24T21-03-08,29-02-24T21-03-24,01-03-24T04-53-42,,,,,6,C3,0.080%,2791,70
6-api-baseline.csv,micro,29-02-24T21-03-08,1,5,300,50,30,29-02-24T21-03-08,29-02-24T21-03-24,01-03-24T04-53-42,,,,,7,C1E,0.783%,28729,10
6-api-baseline.csv,micro,29-02-24T21-03-08,1,5,300,50,30,29-02-24T21-03-08,29-02-24T21-03-24,01-03-24T04-53-42,,,,,8,C1,0.299%,17093,2
6-api-baseline.csv,micro,29-02-24T21-03-08,1,5,300,50,30,29-02-24T21-03-08,29-02-24T21-03-24,01-03-24T04-53-42,,,,,9,POLL,0.004%,4637,0
6-api-baseline.csv,micro,29-02-24T21-03-08,1,5,300,50,30,29-02-24T21-03-08,29-02-24T21-03-24,01-03-24T04-53-42,,,,,10,C0,1.645%
16-api-baseline.csv,micro,29-02-24T21-03-08,1,5,300,50,30,29-02-24T21-03-08,29-02-24T21-03-24,01-03-24T04-53-42,,,,,1,C10,90.135%,34352,890
16-api-baseline.csv,micro,29-02-24T21-03-08,1,5,300,50,30,29-02-24T21-03-08,29-02-24T21-03-24,01-03-24T04-53-42,,,,,2,C9,0.039%,177,480
16-api-baseline.csv,micro,29-02-24T21-03-08,1,5,300,50,30,29-02-24T21-03-08,29-02-24T21-03-24,01-03-24T04-53-42,,,,,3,C8,6.593%,22922,200
16-api-baseline.csv,micro,29-02-24T21-03-08,1,5,300,50,30,29-02-24T21-03-08,29-02-24T21-03-24,01-03-24T04-53-42,,,,,4,C7s,0.009%,78,124
16-api-baseline.csv,micro,29-02-24T21-03-08,1,5,300,50,30,29-02-24T21-03-08,29-02-24T21-03-24,01-03-24T04-53-42,,,,,5,C6,0.703%,10380,85
16-api-baseline.csv,micro,29-02-24T21-03-08,1,5,300,50,30,29-02-24T21-03-08,29-02-24T21-03-24,01-03-24T04-53-42,,,,,6,C3,0.079%,2728,70
16-api-baseline.csv,micro,29-02-24T21-03-08,1,5,300,50,30,29-02-24T21-03-08,29-02-24T21-03-24,01-03-24T04-53-42,,,,,7,C1E,0.617%,27610,10
16-api-baseline.csv,micro,29-02-24T21-03-08,1,5,300,50,30,29-02-24T21-03-08,29-02-24T21-03-24,01-03-24T04-53-42,,,,,8,C1,0.288%,16491,2
16-api-baseline.csv,micro,29-02-24T21-03-08,1,5,300,50,30,29-02-24T21-03-08,29-02-24T21-03-24,01-03-24T04-53-42,,,,,9,POLL,0.004%,4752,0
16-api-baseline.csv,micro,29-02-24T21-03-08,1,5,300,50,30,29-02-24T21-03-08,29-02-24T21-03-24,01-03-24T04-53-42,,,,,10,C0,1.532%
28-api-baseline.csv,micro,29-02-24T21-03-08,1,5,300,50,30,29-02-24T21-03-08,29-02-24T21-03-24,01-03-24T04-53-42,,,,,1,C10,90.274%,32286,890
28-api-baseline.csv,micro,29-02-24T21-03-08,1,5,300,50,30,29-02-24T21-03-08,29-02-24T21-03-24,01-03-24T04-53-42,,,,,2,C9,0.050%,114,480
28-api-baseline.csv,micro,29-02-24T21-03-08,1,5,300,50,30,29-02-24T21-03-08,29-02-24T21-03-24,01-03-24T04-53-42,,,,,3,C8,6.274%,20767,200
28-api-baseline.csv,micro,29-02-24T21-03-08,1,5,300,50,30,29-02-24T21-03-08,29-02-24T21-03-24,01-03-24T04-53-42,,,,,4,C7s,0.009%,85,124
